"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type","Longitude","Latitude","Place Id"
"VIC","ALPINE SHIRE","100117","ABBEYARD","REGISTERED","LOCB","146.7524021","-37.025352","100103"
"VIC","YARRA CITY","100118","ABBOTSFORD","REGISTERED","LOCB","144.9987055","-37.8025182","100104"
"VIC","MOONEE VALLEY CITY","100119","ABERFELDIE","REGISTERED","LOCB","144.8979276","-37.7598697","100105"
"VIC","BAW BAW SHIRE","100120","ABERFELDY","REGISTERED","LOCB","146.3783433","-37.702079","100106"
"VIC","MURRINDINDI SHIRE","100121","ACHERON","REGISTERED","LOCB","145.7040751","-37.270525","100107"
"VIC","BAW BAW SHIRE","100122","ADA","REGISTERED","LOCB","145.8495942","-37.8407326","100108"
"VIC","BASS COAST SHIRE","100123","ADAMS ESTATE","REGISTERED","LOCB","145.531635","-38.4251697","100109"
"VIC","BALLARAT CITY","100124","ADDINGTON","REGISTERED","LOCB","143.6666169","-37.3937015","100110"
"VIC","CENTRAL GOLDFIELDS SHIRE","100125","ADELAIDE LEAD","REGISTERED","LOCB","143.666611","-37.0852215","100111"
"VIC","SOUTH GIPPSLAND SHIRE","100126","AGNES","REGISTERED","LOCB","146.3886111","-38.6847222","100112"
"VIC","MELTON CITY","123259","AINTREE","REGISTERED","LOCB","144.6681528","-37.7191667","122614"
"VIC","COLAC OTWAY SHIRE","100127","AIRE VALLEY","REGISTERED","LOCB","143.564482","-38.6931688","100113"
"VIC","SURF COAST SHIRE","100128","AIREYS INLET","REGISTERED","LOCB","144.0974471","-38.437914","100114"
"VIC","WELLINGTON SHIRE","100129","AIRLY","REGISTERED","LOCB","147.0994153","-38.029127","100115"
"VIC","MOONEE VALLEY CITY","100130","AIRPORT WEST","REGISTERED","LOCB","144.884188","-37.7232159","100116"
"VIC","HINDMARSH SHIRE","100131","ALBACUTYA","REGISTERED","LOCB","141.9593417","-35.7372797","100117"
"VIC","BRIMBANK CITY","100132","ALBANVALE","REGISTERED","LOCB","144.7682344","-37.7459283","100118"
"VIC","PORT PHILLIP CITY","100133","ALBERT PARK","REGISTERED","LOCB","144.954133","-37.8430815","100119"
"VIC","WELLINGTON SHIRE","100134","ALBERTON","REGISTERED","LOCB","146.6666645","-38.6132008","100120"
"VIC","WELLINGTON SHIRE","100135","ALBERTON WEST","REGISTERED","LOCB","146.583875","-38.6043737","100121"
"VIC","BRIMBANK CITY","100136","ALBION","REGISTERED","LOCB","144.8167285","-37.7757465","100122"
"VIC","MURRINDINDI SHIRE","100137","ALEXANDRA","REGISTERED","LOCB","145.7417406","-37.1965757","100123"
"VIC","BALLARAT CITY","100138","ALFREDTON","REGISTERED","LOCB","143.8008575","-37.5549485","100124"
"VIC","BAW BAW SHIRE","100139","ALLAMBEE","REGISTERED","LOCB","146.0253531","-38.2739715","100125"
"VIC","SOUTH GIPPSLAND SHIRE","100141","ALLAMBEE RESERVE","REGISTERED","LOCB","146.0650228","-38.3258322","100127"
"VIC","BAW BAW SHIRE","100140","ALLAMBEE RESERVE","REGISTERED","LOCB","146.0419775","-38.3009358","100126"
"VIC","BAW BAW SHIRE","100142","ALLAMBEE SOUTH","REGISTERED","LOCB","146.1184928","-38.3478969","100128"
"VIC","SOUTH GIPPSLAND SHIRE","100143","ALLAMBEE SOUTH","REGISTERED","LOCB","146.0985041","-38.3506836","100129"
"VIC","INDIGO SHIRE","100144","ALLANS FLAT","REGISTERED","LOCB","146.9378343","-36.2973099","100130"
