Business ID,,8300,8302,8360,8360,8306,8362,8312,8314,8316,8364,8318,8320,8366,8326,8328,8368,8332,8336,8338
Days Run,,MF,MF,MO,ME,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,2x SP,3x SP,N +VN,N +6SH,N +6SH,N +VN,3x SP,2x SP,3VL,N +VN,3x SP,2x SP,N +VN,3x SP,2x SP,N +VN,2x SP,3VL,3VL
Formed By On Arrival,,"7300
04:42
SLO","7302
05:31
SLO",ON,ON,"7306
06:37
SLO",ON,"7312
07:54
SLO","8303
08:33
SPE","8307
10:03
SPE","8361
08:43
SPE","8311
11:54
SPE","8313
12:54
SPE","8363
12:10
SPE","8317
14:54
SPE","8321
15:54
SPE","8365
15:25
SPE","8325
17:34
SPE","8331
19:54
SPE","8337
21:14
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SHEPPARTON,,,,05:10,05:10,,06:25,,,,09:35,,,12:46,,,16:03,,,
MOOROOPNA,,,,05:17,05:17,,06:32,,,,09:42,,,12:53,,,16:10,,,
MURCHISON EAST,,,,05:38,05:38,,06:53,,,,10:02/10:07,,,13:13,,,16:30,,,
NAGAMBIE,,,,05:53,05:53,,07:08,,,,10:22,,,13:28,,,16:45,,,
SEYMOUR,Arr,,,06:15,06:15,,07:30,,,,10:44,,,13:50,,,17:07,,,
,Dep,05:00,05:49,06:17,06:17,06:55,07:32,08:12,09:14,10:14,10:46,12:14,13:14,13:52,15:41,16:13,17:09,18:30,20:20,21:45
,Plat,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
TALLAROOK,,05:06,05:55,06:24,06:24,07:02,…/…,08:18,09:20,10:20,…/…,12:20,13:20,…/…,15:47,16:19,…/…,18:36,20:26,21:53
BROADFORD,,05:16,06:05,06:35,06:35,07:13,07:48,08:28,09:30,10:30,11:02,12:30,13:30,14:08,15:57,16:29,17:25,18:46,20:37,22:04
KILMORE EAST,,05:23,06:12,06:43,06:43,07:21,07:56,08:35,09:37,10:37,11:10,12:37,13:37,14:17,16:04,16:36,17:34,18:53,20:45,22:12
WANDONG,,05:30,06:19,06:50,06:50,07:28,08:03,08:42,09:44,10:44,11:17,12:44,13:44,14:24,16:11,16:43,17:41,19:00,20:52,22:19
HEATHCOTE JUNCTION,,05:32,06:21,06:53,06:53,07:31,…/…,08:44,09:46,10:46,…/…,12:46,13:46,…/…,16:13,16:45,…/…,19:02,20:55,22:21
WALLAN,,05:37,06:26,06:59/07:00,06:59/07:00,07:37,08:11,08:49,09:51,10:51,11:25,12:51,13:51,14:30,16:17,16:49,17:48,19:06,20:58,22:29
DONNYBROOK,,05:45,06:34/06:35,07:10,07:10,07:47/07:48,08:20/08:21,08:57,09:59,10:59,11:33*,12:59,13:59,14:39*,16:26,16:58,17:57*,19:15,21:07,22:39
CRAIGIEBURN,,05:52*,06:42*,07:18*,07:18*,07:56*,08:30*,09:04d,10:06d,11:06d,11:40*,13:06d,14:06d,14:46*,16:34d,17:06d,18:04*,19:23d,21:14d,22:51d
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BROADMEADOWS,,05:58d,06:49d,07:26d,07:26d,08:02d,08:38d,09:10d,10:12d,11:12d,11:46d,13:12d,14:12d,14:53d,16:42d,17:13d,18:10d,19:29d,21:20d,22:57d
ESSENDON,,06:10d,07:05d,07:41d,07:41d,08:17d,08:53*,09:22*,10:19*,11:19*,11:57*,13:19*,14:19*,15:00*,16:57*,17:28*,18:17*,19:37*,21:27*,23:04*
NORTH MELBOURNE,,06:25d,07:16d,07:52d,07:52d,08:29d,09:03d,09:32d,10:27d,11:27d,,,14:27*,,17:08*,17:38*,18:27*,19:48*,21:37*,23:11*
SOUTHERN CROSS,Arr,06:32,07:23,07:59,07:59,08:36,09:10,09:39,10:34,11:34,12:15,13:35,14:35,15:15,17:16,17:46,18:35,19:55,21:44,23:16
,Plat,8S,7,2,8,7,5,7,6,7,5,15A,8N,2,8S,8S,8,6,8,6
Forms,,"8303
07:11
SER","8323
15:31
SER",OFF,"8911
08:32
SDL","8243
17:19
BAH","8363
09:33
SNH
MFO, DAP
8797, 8363
MFE","8311
10:32
SER","8321
14:32
SER","8143
14:16
ART","8365
12:52
SNH","8417
14:20
TRN","8325
16:02
SER","8771
16:27
GEL","8329
17:37
SER","8047
18:44
KYN","8803
19:25
SOG","8339
21:50
SER ThE
8530
21:34
FSS ThO","8187
22:55
WED",OFF
