Business ID,,8007,8011,8071,8017,8019,8021,8023,8025,8029,8031,8027,8043,8045,8049,8061,8063,8065,8067
Days Run,,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat
Vehicle Formation,,3VL,N +VN,3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,2x 3VL,3VL,N +VN,3VL,3VL,3VL,3VL,3VL
Formed By On Arrival,,ON,ON,"8304
07:48
SER","8020
09:24
BGO","8412
10:40
TRN",ON,"8028
12:18
BGO","8030
13:20
BGO",ON,"8034
15:20
BGO","8940
14:15
SKS","8426
17:11
TRN","8042
17:44
SWL","8428
18:10
TRN","8168
19:40
WED","8168
19:40
WED","8054
22:07
BGO","8174
22:39
WED"
Train Movement Type,,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SOUTHERN CROSS,,07:20,08:00,09:02,10:22,11:22,12:22,13:22,14:22,15:22,16:22,17:20,18:02,18:35,19:25,20:25,21:25,22:25,23:55
,Plat,7,3,7,7,16A,6,16B,2,7N,6,8S,16A,3N,16B,8,8,15A,2
FOOTSCRAY,,07:27u,08:07u,09:09u,10:29u,11:29u,12:29u,13:29u,14:29u,15:29u,16:29u,17:27u,18:09u,18:42u,19:32u,20:32u,21:32u,22:32u,00:02u
SUNSHINE,,07:33*,08:14*,09:15*,10:35*,11:35*,12:35*,13:35*,14:35*,15:35*,16:35*,17:33*,18:15*,18:49*,19:38*,20:38*,21:38*,22:38*,00:08*
SUNBURY,,07:51,08:37*,09:33,10:53,11:53,12:53,13:53,14:53,15:53,16:53,17:51,18:32,19:12#D,19:55,20:55,21:55,22:55,00:25
,Plat,2,1A,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2
RIDDELLS CREEK,,08:03,…/…,09:45,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:03,18:44,…/…,20:07,21:07,22:07,23:07,00:37
GISBORNE,,08:09,08:54,09:51,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:09,18:50,19:30,20:13,21:13,22:13,23:13,00:43
MACEDON,,08:13,…/…,09:55,11:15,12:15,13:15,14:15,15:15,16:15,17:15,18:13,18:54,…/…,20:17,21:17,22:17,23:17,00:47
WOODEND,,08:19,09:04,10:01,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:19,19:00,19:42,20:23,21:23,22:23,23:23,00:53
KYNETON,,08:27,09:14,10:08,11:28,12:28,13:28,14:28,15:28,16:28,17:28,18:26,19:07,19:52,20:30,21:30,22:30,23:30,01:00
,Plat,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1
MALMSBURY,,08:33,…/…,10:14,11:34,12:34,13:34,14:34,15:34,16:34,17:34,18:32,19:13,…/…,20:36,21:36,22:36,23:36,01:06
CASTLEMAINE,,08:47/08:48,09:35/09:40,10:27/10:28,11:47/11:48,12:47/12:48,13:47/13:48,14:47/14:48,15:47,16:47/16:48,17:47/17:48,18:46,19:30,20:14,20:50,21:49,22:49,23:49,01:19
,Plat,2,2,1,2,2,2,2,1,2,2,1,1,1,1,2,1,1,1
KANGAROO FLAT,,09:04,10:01*,10:47,12:04,13:04,14:04,15:04,16:03,17:04,18:04,19:02,19:46,20:32*,21:06,22:05,23:05,00:05,01:35
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BENDIGO,Arr,09:13,10:05,10:53,12:12,13:12,14:12,15:12,16:11,17:12,18:12,19:09DV,19:54,20:38,21:16,22:14,23:14,00:14,01:44
,Dep,,10:10,11:03,,,,,,,,19:19DV,,20:43,,,,,
,Plat,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
EAGLEHAWK,,,10:18,,,,,,,,,,,20:51,,,,,
DINGEE,,,10:47,,,,,,,,,,,21:20,,,,,
PYRAMID,,,11:16,,,,,,,,,,,21:49,,,,,
KERANG,,,11:44,,,,,,,,,,,22:17,,,,,
SWAN HILL,,,12:32,,,,,,,,,,,23:05,,,,,
EPSOM,,,,11:12,,,,,,,,19:28,,,,,,,
ELMORE,,,,11:42,,,,,,,,19:58,,,,,,,
ROCHESTER,,,,11:56,,,,,,,,20:12,,,,,,,
ECHUCA,,,,12:21,,,,,,,,20:37,,,,,,,
Forms,,"7008
09:18
BGC","8042
13:14
SPE","8072
15:58
SPE","8032
12:25
SPE","8034
13:25
SPE","8036
14:25
SPE","7024
15:23
BGC","8046
16:25
SPE","7030
17:15
BGC","8050
18:42
SPE",OFF,"8054
20:09
SPE",OFF,"8060
21:27
SPE","7062
22:17
BGC","7064
23:17
BGC","7066
00:17
BGC","7068
01:47
BGC"
