Business ID,,8011,8071,8017,8019,8021,8023,8025,8029,8031,8027,8043,8045,8049,8061,8065
Days Run,,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO,SuO
Vehicle Formation,,N +VN,3VL,3VL,3VL,3VL,3VL,3VL,3VL,2x 3VL,2x 3VL,3VL,N +VN,3VL,3VL,3VL
Formed By On Arrival,,ON,"8404
08:06
TRN","8736
09:15
WPP",ON,"8952
11:50
WTR","8024
12:18
ECH","8144
13:40
ART","8318
13:47
SER","8758
12:35
WPP","8940
14:15
SKS","8424
17:10
SAE","8864
15:23
WBL","8428
18:10
TRN","8072
19:20
ECH","8158
17:40
WED"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SOUTHERN CROSS,,08:00,09:02,10:22,11:22,12:22,13:22,14:22,15:22,16:22,17:20,18:02,18:35,19:22,20:25,22:25
,Plat,5,16A,8,6,15A,16B,16B,3N,8,8S,16A,5,16B,8N,6
FOOTSCRAY,,08:07u,09:09u,10:29u,11:29u,12:29u,13:29u,14:29u,15:29u,16:29u,17:27u,18:09u,18:42u,19:29u,20:32u,22:32u
SUNSHINE,,08:14*,09:15*,10:35*,11:35*,12:35*,13:35*,14:35*,15:35*,16:35*,17:33*,18:15*,18:48*,19:35*,20:38*,22:38*
SUNBURY,,08:37*,09:33,10:53,11:53,12:53,13:53,14:53,15:53,16:53,17:51,18:32,19:12#D,19:52,20:55,22:55
,Plat,1A,2,2,2,2,2,2,2,2,2,2,1,1,1,1
RIDDELLS CREEK,,…/…,09:45,11:05,12:05,13:05,14:05,15:05,16:05,17:05,18:03,18:44,…/…,20:04,21:07,23:07
GISBORNE,,08:54,09:51,11:11,12:11,13:11,14:11,15:11,16:11,17:11,18:09,18:50,19:30,20:10,21:13,23:13
MACEDON,,…/…,09:55,11:15,12:15,13:15,14:15,15:15,16:15,17:15,18:13,18:54,…/…,20:14,21:17,23:17
WOODEND,,09:04,10:01,11:21,12:21,13:21,14:21,15:21,16:21,17:21,18:19,19:00,19:42,20:20,21:23,23:23
KYNETON,,09:14,10:08,11:28,12:28,13:28,14:28,15:28,16:28,17:28,18:26,19:07,19:52,20:27,21:30,23:30
,Plat,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1
MALMSBURY,,…/…,10:14,11:34,12:34,13:34,14:34,15:34,16:34,17:34,18:32,19:13,…/…,20:33,21:36,23:36
CASTLEMAINE,,09:35/09:40,10:27/10:28,11:47/11:48,12:47/12:48,13:47/13:48,14:47/14:48,15:47/15:48,16:47/16:48,17:47/17:48,18:46,19:30,20:14,20:46,21:49,23:49
,Plat,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1
KANGAROO FLAT,,10:01*,10:47,12:04,13:04,14:04,15:04,16:04,17:04,18:04,19:02,19:46,20:32*,21:05,22:05,00:05
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BENDIGO,Arr,10:05,10:53,12:12,13:12,14:12,15:12,16:12,17:12,18:12,19:09DV,19:54,20:38,21:15,22:14,00:14
,Dep,10:10,11:03,,,,,,,,19:19DV,,20:43,,,
,Plat,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
EAGLEHAWK,,10:18,,,,,,,,,,,20:51,,,
DINGEE,,10:47,,,,,,,,,,,21:20,,,
PYRAMID,,11:16,,,,,,,,,,,21:49,,,
KERANG,,11:44,,,,,,,,,,,22:17,,,
SWAN HILL,,12:32,,,,,,,,,,,23:05,,,
EPSOM,,,11:12,,,,,,,,19:28,,,,,
ELMORE,,,11:42,,,,,,,,19:58,,,,,
ROCHESTER,,,11:56,,,,,,,,20:12,,,,,
ECHUCA,,,12:21,,,,,,,,20:37,,,,,
Forms,,"8042
16:13
SPE","8072
15:58
SPE","8032
12:25
SPE","8034
13:25
SPE","8036
14:25
SPE","8044
15:25
SPE","8046
16:25
SPE","7030
17:15
BGC","7032
18:17
BGC",OFF,"7044
20:25
BGC",OFF,"7050
21:18
BGC","7062
22:17
BGC","7066
00:17
BGC"
