Business ID,,8401,8403,8441,8405,8407,8409,8411,8415,8413,8417,8419,8421,8423,8425,8427,8429,8431,8433,8437,8439
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL,2x 3VL,3x SP,3VL,3VL,2x 3VL,3VL,N +VN,3VL,3VL,3VL,3VL,3VL
Formed By On Arrival,,"8210
05:44
BAH","8212
06:57
BAH","8402
07:30
TRN","8718
07:53
MAS","8406
08:48
TRN","8742
09:51
SOG","8024
10:43
ECH","8414
11:37
TRN","8920
13:00
AYD","8318
13:35
SER","8420
14:37
TRN","8236
15:18
BAH","8424
16:35
BDE","8942
17:07
AYD","8944
18:20
AYD","8048
19:24
BGO","8166
19:27
ART","8436
21:28
TRN","8440
22:45
TRN","8818
23:25
WPP"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SOUTHERN CROSS,,06:14,07:20,,08:13,09:15,10:20,11:20,12:20,13:20,14:20,15:20,16:16,16:58,17:33,18:34,19:34,20:34,21:54,23:01,23:59
,Plat,15A,15A,,16A,16A,16A,16A,16A,15A,15A,15A,15A,15A,15A,15A,15A,15A,15A,15A,15A
FLINDERS STREET,,06:18/06:20u,07:24/07:26u,07:46,08:17/08:24u,09:19/09:24u,10:24/10:26u,11:24/11:26u,12:24/12:26u,13:24/13:26u,14:24/14:26u,15:24/15:26u,16:20/16:22u,17:02/17:03u,17:37/17:42u,18:38/18:39u,19:38/19:39u,20:38/20:39u,21:58/21:59u,23:05/23:06u,00:04/00:05u
,Plat,7,7,7,8,8,7,7,7,9,9,9,7,12,8,7,7,7,7,7,7
RICHMOND,,06:24*,07:30*,07:50*,08:29u,09:29*,10:29*,11:29*,12:29*,13:29u,14:29u,15:29u,16:26u,17:06u,17:46u,18:43u,19:42u,20:42u,22:02u,23:09u,00:08u
CAULFIELD,,06:32u,07:38u,07:58u,08:39u,09:38u,10:37u,11:37u,12:37u,13:37u,14:37u,15:37u,16:35u,17:15u,17:56u,18:51u,19:51u,20:51u,22:11u,23:19u,00:18u
,Plat,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
