Business ID,,8109,8113,8115,8117,8221,7135,8121,8123,8223,8125,8225,8129,8227,8133,8229,8137,8231,8143,8233,8147,8235,8151,8237,8155,8157,8239,8161,8241,8165,8243,8245,8171,8247,8175,8177,8179,8181,8183,8185,8187,8189
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,3VL,3VL,2x 3VL,3VL,3VL,2x 3VL,2x 3VL,3VL,3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,2x 3VL,3VL,2x 3VL,3VL,2x 3VL,N +6SH,2x 3VL,3VL,N +6LH,2x 3VL,2x 3VL,2x 3VL,N +6SH,2x 3VL,2x 3VL,N +6LH,2x 3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL
Formed By On Arrival,,ON,"8702
05:49
WPP","8004
07:19
EAG","8718
07:53
MAS","8404
08:23
TRN","8115
09:12
SPE","8124
08:59
WED","8121
10:51
SPE","8740
09:26
WPP","8842
09:21
WVL","8740
09:26
WPP","8746
10:31
SOG","8412
10:37
TRN","8910
12:06
AYD","8028
12:23
EPS","8140
12:40
WED","8228
11:18
BAH","AAP 8316,
8762","8766
13:51
SOG","AAP 8772, 8148","8774
15:11
SOG","AAP 8152,
8776","AAP 8864,
8732","8938
16:21
SDL","8155
17:51
SPE","8220
08:10
MEL","AAP 8030,
8734","8936
16:50
MYD","AAP 8734,
8156","8306
08:36
SER","8786
17:11
SOG","8922
17:35
MYD","AAP 8042,
8216","8792
18:05
WPP","8798
18:49
WPP","8804
19:32
WPP","8806
20:01
SOG","8434
20:11
TRN","8168
21:04
WED","8336
21:44
SER","8172
21:40
WED"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,EMPTY,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SOUTHERN CROSS,Dep,05:03,06:08,07:26,08:16,08:37,,09:16,,09:37,10:16,10:37,11:16,11:37,12:16,12:37,13:16,13:37,14:16,14:37,15:16,15:37,16:00,16:10,16:33,,16:35,16:54,17:00,17:10,17:19,17:35,17:50,17:59,18:23,19:17,19:50,20:30,21:17,21:55,22:55,23:55
,Plat,7,16A,16A,16B,15A,,2,,6,2,5,8,15A,16B,15A,8S,1,6,3,16A,3,6,4,15A,,3,2,16A,4,7,6,15A,3,16A,6,16A,3,16A,6,8,2
FOOTSCRAY,,05:10u,06:15u,07:33u,08:23u,08:44u,,09:23u,,09:44u,10:23u,10:44u,11:23u,11:44u,12:23u,12:44u,13:23u,13:44u,14:23u,14:44u,15:23u,15:44u,16:07u,16:18u,16:40u,,16:42u,17:01u,17:07u,17:17u,17:27u,17:42u,17:57u,18:06u,18:30u,19:24u,19:57u,20:37u,21:24u,22:02u,23:02u,00:02u
SUNSHINE,,05:15u,06:20u,07:38u,08:28u,08:49u,,09:28u,,09:49u,10:28u,10:49u,11:28u,11:49u,12:28u,12:49u,13:28u,13:49u,14:28u,14:49u,15:28u,15:49u,16:12u,16:24u,16:45u,,16:49u,17:06*,17:12u,17:22*,17:33u,17:48u,18:02*,18:13u,18:35*,19:29u,20:02u,20:42u,21:29u,22:07u,23:07u,00:07u
,Plat,4,4,4,4,4,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ARDEER,,05:19,06:24,07:42,08:32,08:53,,09:32,,09:53,10:32,10:53,11:32,11:53,12:32,12:53,13:32,13:53,14:32,14:53,15:32,15:53,16:15*,16:27*,16:48*,,16:52,17:08*,17:16,17:24*,17:36*,17:51,18:04*,18:16,18:37*,19:33,20:06,20:46,21:33,22:11,23:11,00:11
DEER PARK,,05:21,06:26,07:44,08:34,08:55,,09:34*,,09:55,10:34*,10:55,11:34*,11:55,12:34*,12:55,13:34*,13:55,14:34*,14:55,15:34,15:55,16:16*,16:29,16:49*,,16:56,17:10*,17:18,17:25*,17:40,17:53,18:05*,18:20,18:38*,19:35,20:08,20:48,21:35,22:13,23:13,00:13
CAROLINE SPRINGS,,05:26,06:31,07:49,08:39,08:59,,09:37,,09:59,10:37,10:59,11:37,11:59,12:37,12:59,13:37,13:59,14:37,14:59,15:39,15:59,16:19*,16:33,16:52*,,17:01,17:13*,17:23,17:30*,17:43,17:57,18:08*,18:25,18:42,19:40,20:13,20:52,21:39,22:17,23:17,00:17
,Plat,2,2,2,2,2,,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ROCKBANK,,05:31,06:37,07:54,08:43*,09:05,,09:42*,,10:05,10:42*,11:05,11:42*,12:05,12:42*,13:05,13:42*,14:05,14:42*,15:05,15:43*,16:05,16:22*,16:41,16:54*,,17:07,17:17*,17:28,17:33*,17:49*,18:03,18:12*,18:31,18:47*,19:45,20:18,20:57,21:44,22:22,23:22,00:22
,Plat,1,1,2,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MELTON,,05:36,06:43/06:44,08:00/08:03,08:47,09:10,,09:47,,10:10,10:47,11:10,11:47,12:10,12:47,13:10,13:47,14:10,14:47,15:10,15:48,16:13,16:25*,16:47,16:57*,,17:17,17:19*,17:34,17:37,17:54,18:08,18:14*,18:39,18:51/18:52,19:50,20:23,21:02,21:49,22:27,23:27,00:27
