Business ID,,8404,8408,8410,8418,8420,8422,8426,8424,8428,8430,8432,8434
Days Run,,SuO,SuO,SuO,SuO,SuO,Sun+Sat,SuO,SuO,SuO,SuO,SuO,SuO
Vehicle Formation,,3VL,2x 3VL,N +VN,2x 3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL
Formed By On Arrival,,ON,ON,ON,ON,"8407
11:24
SPE","8413
13:14
SPE",ON,"8413
13:14
SPE","8415
15:17
SPE","8417
16:17
SPE","8403
11:43
SPE","8421
18:38
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
BAIRNSDALE,,,,07:41,,,,,,,,16:37,
STRATFORD,,,,08:15,,,,,,,,17:11,
SALE,,,,08:29/08:31,,,,,14:11,,,17:25/17:27,
ROSEDALE,,,,08:50,,,,,14:29,,,17:46,
TRARALGON,Arr,,,09:06,,,,,14:49,,,18:01,
,Dep,06:00,08:00,09:08,10:39,11:39,12:53,13:51,14:51,15:51,16:39,18:03,18:50
MORWELL,,06:09,08:09,09:19,10:48,11:48,13:02,14:00,15:00,16:00,16:48,18:12,18:59
MOE,,06:18,08:18,09:30,10:57,11:57,13:11,14:11,15:11,16:11,16:57,18:28,19:08
TRAFALGAR,,06:24,08:24,09:36*,11:03,12:03,13:19,14:19,15:19,16:19,17:05,18:34*,19:16
YARRAGON,,06:29,08:29,…/…,11:08,12:08,13:25,14:25,15:25,16:25,17:11,…/…,19:22
WARRAGUL,,06:37,08:37,09:49,11:16,12:16,13:33,14:33,15:33,16:33,17:19,18:47,19:30
DROUIN,,06:42,08:42,09:55,11:21,12:21,13:39,14:39,15:39,16:39,17:25,18:53,19:36
LONGWARRY,,06:48,08:48,10:02*,11:27,12:27,13:45,14:45,15:45,16:45,17:31,18:58*,19:42
BUNYIP,,06:51,08:51,10:05*,11:30,12:30,13:48,14:48,15:48,16:48,17:34,19:01*,19:45
GARFIELD,,06:54,08:54,10:09,11:33,12:33,13:52,14:52,15:52,16:52,17:38,19:05,19:49
TYNONG,,06:58,08:58,…/…,11:37,12:37,13:56,14:56,15:56,16:56,17:42,…/…,19:53
NAR NAR GOON,,07:02,09:02,10:15*,11:41,12:41,14:00,15:00,16:00,17:00,17:46,19:11*,19:57
PAKENHAM,,07:10,09:10,10:24,11:49,12:49,14:09,15:09,16:09,17:09,17:55,19:19,20:06
,Plat,1,2,1,1,1,1,1,1,1,1,1,1
BERWICK,,07:18*,09:18*,10:33*,11:57*,12:57*,14:17*,15:17*,16:17*,17:17*,18:07*,19:27*,20:14*
DANDENONG,,07:27d,09:27d,10:45d,12:06d,13:06d,14:26d,15:26d,16:26d,17:26d,18:19d,19:39d,20:23d
,Plat,2,2,2,2,2,2,2,2,2,2,2,2
CLAYTON,,07:37d,09:37d,…/…,12:19d,13:19d,14:39d,15:39d,16:39d,17:39d,18:31d,…/…,20:34d
CAULFIELD,,07:47d,09:47d,11:13d,12:33d,13:33d,14:53d,15:53d,16:53d,17:53d,18:43d,20:03d,20:43d
,Plat,3,3,3,3,3,3,3,3,3,3,3,3
RICHMOND,,07:55d,09:56d,11:21d,12:41d,13:41d,15:01d,16:01d,17:01d,18:01d,18:51d,20:10d,20:50d
FLINDERS STREET,,08:00/08:01d,10:00/10:01d,11:25/11:26d,12:45/12:46d,13:45/13:46d,15:05/15:06d,16:05/16:06d,17:05/17:06d,18:05/18:06d,18:55/18:56d,20:14/20:15d,20:54/20:55d
,Plat,10,10,10,10,10,10,10,10,10,10,7,10
SOUTHERN CROSS,Arr,08:06,10:06,11:30,12:50,13:50,15:10,16:10,17:10,18:10,19:00,20:19,20:59
,Plat,16A,16A,15A,15A,15A,16A,16A,16A,16A,16A,15A,16A
Forms,,"8071
09:02
ECH","8735
10:30
WPP","8933
11:40
AYD","8937
12:55
SKS","8939
13:55
SKS","8941
15:15
SKS","8943
16:15
SKS","8043
18:02
BGO","8049
19:22
BGO","8809
20:30
WPP","8945
20:33
SKS","8433
21:35
TRN"
