Business ID,,8400,8402,8404,8406,8408,8410,8412,8414,8416,8418,8420,8422,8424,8426,8428,8430,8434,8436,8432,8440
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,3VL,3VL,3VL,2x 3VL,3VL,N +VN,3VL,3VL,3VL,3VL,3VL,3VL,2x 3VL,3VL,3VL,3x SP,3VL,3VL,2x 3VL,3VL
Formed By On Arrival,,ON,ON,ON,ON,ON,ON,ON,"8401
08:35
SPE","8441
10:06
FSS","8405
10:48
SPE","8407
11:48
SPE","8409
12:48
SPE","8403
11:11
SPE","8415
14:45
SPE","8411
13:45
SPE","8417
16:47
SPE","8419
17:42
SPE","8421
18:39
SPE","8413
17:07
SPE","8425
20:09
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
BAIRNSDALE,,,,,,,06:08,,,,,,,12:45,,,,,,18:18,
STRATFORD,,,,,,,06:42,,,,,,,13:19,,,,,,18:52,
SALE,,,,,,,06:55/06:57,,,,,,,13:33/13:35,,,,,,19:06/19:08,
ROSEDALE,,,,,,,07:16,,,,,,,13:54,,,,,,19:27,
TRARALGON,Arr,,,,,,07:32,,,,,,,14:10,,,,,,19:43,
,Dep,04:35,05:26,05:56,06:36,07:19,07:34,08:10,09:19,10:19,11:19,12:19,13:14,14:14,15:14,16:11,17:10,17:51,18:51,19:45,20:21
MORWELL,,04:44,05:34,06:05,06:45,07:28,07:45,08:18,09:28,10:28,11:28,12:28,13:23,14:23,15:23,16:20,17:20,18:00,19:00,19:54,20:30
MOE,,04:54,05:44,06:15,06:55,07:38,07:57,08:33,09:38,10:38,11:38,12:38,13:32,14:32,15:32,16:34,17:31,18:10,19:13,20:04,20:42
