Business ID,,8004,8020,8024,8026,8028,8030,8032,8034,8036,8042,8046,8072,8050,8054,8060
Days Run,,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat,Sat
Vehicle Formation,,3VL,3VL,3VL,N +VN,2x 3VL,2x 3VL,3VL,3VL,3VL,N +VN,2x 3VL,3VL,3VL,3VL,3VL
Formed By On Arrival,,"7003
05:43
BGC","7019
07:20
BGC",ON,ON,"7027
10:12
BGC","7029
11:15
BGC","8017
12:12
SPE","8019
13:12
SPE","8021
14:12
SPE","8011
12:32
SPE","AAP 8025,
7045","8071
12:21
SPE","8031
18:12
SPE","8043
19:54
SPE","8049
21:16
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
ECHUCA,,,,07:01,,,,,,,,,15:58,,,
ROCHESTER,,,,07:24,,,,,,,,,16:21,,,
ELMORE,,,,07:38,,,,,,,,,16:35,,,
EPSOM,,,,08:07,,,,,,,,,17:04,,,
SWAN HILL,,,,,06:51,,,,,,13:14,,,,,
KERANG,,,,,07:34,,,,,,13:57,,,,,
PYRAMID,,,,,08:03,,,,,,14:26,,,,,
DINGEE,,,,,08:31,,,,,,14:54,,,,,
EAGLEHAWK,,,,,09:00,,,,,,15:23,,,,,
BENDIGO,Arr,,,08:15AV,09:13,,,,,,15:36,,17:13,,,
,Dep,05:53,07:30,08:27AV,09:16,10:22,11:25,12:25,13:25,14:25,15:39,16:25,17:25,18:42,20:09,21:27
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KANGAROO FLAT,,05:57,07:34,08:31,09:20*,10:27,11:30,12:30,13:30,14:30,15:43*,16:30,17:30,18:46,20:14,21:32
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CASTLEMAINE,,06:14,07:52,08:48,09:40,10:44,11:47,12:47,13:47,14:47,16:05,16:47,17:47,19:08,20:32,21:49
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MALMSBURY,,06:26,08:04,09:00,…/…,10:57,12:00,13:00,14:00,15:00,…/…,17:00,18:00,…/…,20:47,22:04
KYNETON,,06:34,08:12,09:08,10:05,11:05,12:08,13:08,14:08,15:08,16:28,17:08,18:08,19:29,20:55,22:12
,Plat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WOODEND,,06:42,08:20,09:16,10:16,11:13,12:16,13:16,14:16,15:16,16:38,17:16,18:16,19:37,21:03,22:20
MACEDON,,06:48,08:26,09:22,…/…,11:19,12:22,13:22,14:22,15:22,…/…,17:22,18:22,…/…,21:09,22:26
GISBORNE,,06:52,08:30,09:26,10:27,11:23,12:26,13:26,14:26,15:26,16:48,17:26,18:26,19:45,21:13,22:30
RIDDELLS CREEK,,06:57,08:35,09:31,…/…,11:28,12:31,13:31,14:31,15:31,…/…,17:31,18:31,…/…,21:18,22:35
SUNBURY,,07:13,08:51,09:48,10:48*,11:45,12:48,13:48,14:48,15:48,17:10*,17:48,18:48,20:02,21:35,22:52
,Plat,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
SUNSHINE,,07:30*,09:09*,10:06*,11:07*,12:03*,13:05*,14:05*,15:05*,16:05*,17:28*,18:05*,19:05*,20:18*,21:52*,23:11*
FOOTSCRAY,,07:35d,09:14d,10:11d,11:13d,12:08d,13:10d,14:10d,15:10d,16:10d,17:34d,18:10d,19:10d,20:23d,21:57d,23:16d
SOUTHERN CROSS,,07:45,09:24,10:21,11:23,12:18,13:20,14:20,15:20,16:20,17:44,18:20,19:20,20:33,22:07,23:26
,Plat,15A,7,6,5,16A,2,15A,6,7,3N,8,15B,4,15A,4
Forms,,"8405
08:05
TRN","8017
10:22
BGO","DAP 8311,
8147","8865
13:00
WBL","DAP 8415,
8023","DAP 8025,
8937","8419
15:16
TRN","8031
16:22
BGO",OFF,"DAP 8869,
8045","8799
18:40
WPP","8953
19:40
WTR","8185
22:16
WED","8065
22:25
BGO",OFF
