Business ID,,8701,8703,8831,8709,8713,8715,8861,8719,8721,8723,8725,8727,8729,8731,8733,8735,8737,8739,8741,8743,8745,8747,8749,8865,8751,8753,8755,8757,8759,8761,8763,8765,8767,8769,8849,8771,8773,8775,8853,8781,8867,8855,8787,8789,8791,8793,8795,8797,8799,8801,8857,8869,8803,8805,8809,8811,8813,8815,8817,8819,8821
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,N +VN,2x 3VL,2x 3VL,3VL,3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,N +VN,3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,N +VN,2x 3VL,2x 3VL,2x 3VL,2x 3VL,N +VN,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,N +6SH,N +6SH,2x 3VL,2x 3VL,3VL,N +VN,N +VN,2x 3VL,3VL,2x 3VL,3VL,3VL,3VL,3VL,3VL
Formed By On Arrival,,ON,ON,ON,ON,"8102
06:35
WED","8002
07:00
BGO","8704
06:30
MAS","8712
07:34
SOG","8714
07:40
WPP","8726
08:22
WPP","8010
08:06
EPS","8836
08:34
WVL","8406
08:48
TRN","8020
09:28
BGO","8020
09:28
BGO","8742
09:51
SOG","8746
10:31
SOG","8748
10:51
WPP","8750
11:11
SOG","8752
11:31
WPP","8136
11:40
WED","8840
09:04
WVL","8230
12:18
BAH","8026
11:34
SWL","8226
10:18
BAH","8916
13:22
AYD","8904
13:42
AYD","8144
13:40
WED","AAP 8232,
8768","8770
14:31
SOG","AAP 8234,
8764","8914
15:20
AYD","8908
15:40
AYD","AAP 8778,
8720","AAP 8032,
8136","8366
15:15
SNH","8780
16:11
WPP","8782
16:31
SOG","AAP 8238,
8748","8784
16:51
WPP","8860
09:31
WBL","8906
17:06
MYD","8552
17:08
AST","8158
17:16
MBY","8850
17:33
WVS","8790
17:46
SOG","8214
07:16
BAH ME
8738
09:16
SOG MO","8222
08:31
BAH
MFO, AAP
8362, 8222
MFE","8854
18:25
WVS","8794
18:31
SOG","8242
18:22
MEL","8042
17:25
SWL","8368
18:35
SNH","AAP 8046,
8802","8858
20:16
WVS","AAP 8810,
8246","8168
21:04
WED","8172
21:40
WED","8174
22:18
BAT","8056
21:55
BGO","8062
00:58
BGO"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
SOUTHERN CROSS,,05:00,06:00,06:23,06:47,07:08,07:20,07:30,07:50,08:10,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:05,13:10,13:30,13:50,14:10,14:30,14:50,15:10,15:30,15:50,16:06,16:17,16:27,16:43,16:48,16:51,17:07,17:13,17:16,17:32,17:41,17:46,17:56,18:05,18:18,18:35,18:50,19:05,19:13,19:25,20:05,20:40,21:25,22:05,22:45,23:30,00:15,01:15
,Plat,6,4,6,6,16B,6,8,16A,7N,16A,5,1,16B,2N,2N,16B,8S,6,16B,4N,1,8N,8,3N,1,16A,15B,16B,2,6,8,16A,15B,7,1,2,6,16A,7N,5,1,16A,7N,1,5,2,1,2,16A,3N,15A,3,8N,7N,4,8S,5,2,1,7,6
FOOTSCRAY,,05:07u,06:07u,06:30u,06:54u,07:15u,07:27u,07:37u,07:57u,08:17u,08:37u,08:57u,09:17u,09:37u,09:57u,10:17u,10:37u,10:57u,11:17u,11:37u,11:57u,12:17u,12:37u,12:57u,13:13u,13:17u,13:37u,13:57u,14:17u,14:37u,14:57u,15:17u,15:37u,15:57u,16:13u,16:24u,16:35u,16:50u,16:55u,16:58u,17:14u,17:21u,17:23u,17:39u,17:48u,17:53u,18:03u,18:13u,18:26u,18:42u,18:57u,19:12u,19:20u,19:33u,20:12u,20:47u,21:32u,22:12u,22:52u,23:37u,00:22u,01:22u
SUNSHINE,,05:12u,06:12u,06:35u,06:59u,07:21u,07:32u,07:43*,08:02u,08:22u,08:42u,09:02u,09:22u,09:42u,10:02u,10:22u,10:42u,11:02u,11:22u,11:42u,12:02u,12:22u,12:42u,13:02u,13:18*,13:22u,13:42u,14:02u,14:22u,14:42u,15:02u,15:22u,15:42u,16:02u,16:18u,16:29u,16:40*,16:55u,17:00*,17:03u,17:19u,17:26*,17:29u,17:44u,17:53*,17:58u,18:08*,18:19u,18:32u,18:47u,19:02u,19:17u,19:25*,19:39u,20:17u,20:52u,21:37u,22:17u,22:57u,23:42u,00:27u,01:27u
ARDEER,,05:15*,06:15*,06:39,07:02*,07:23*,07:35*,07:46*,08:05*,08:25*,08:45*,09:05*,09:25*,09:45*,10:05*,10:25*,10:45*,11:05*,11:25*,11:45*,12:05*,12:25*,12:45*,13:05*,13:21*,13:25*,13:45*,14:05*,14:25*,14:45*,15:05*,15:25*,15:45*,16:05*,16:21*,16:33,16:43*,16:58*,17:02*,17:06*,17:22*,17:29*,17:32,17:47*,17:55*,18:01*,18:10*,18:22*,18:35*,18:50*,19:05*,19:20*,19:28*,19:42*,20:20*,20:55*,21:40*,22:20*,23:00*,23:45*,00:30*,01:30*
DEER PARK,,05:17,06:17,06:41,07:04,07:25,07:37,07:47*,08:07,08:27,08:47,09:07,09:27,09:47,10:07,10:27,10:47,11:07,11:27,11:47,12:07,12:27,12:47,13:07,13:22*,13:27,13:47,14:07,14:27,14:47,15:07,15:27,15:47,16:07,16:23,16:35,16:44*,16:59*,17:03*,17:07*,17:23*,17:30*,17:34*,17:48*,17:56*,18:02*,18:11*,18:23*,18:36*,18:52,19:07,19:22,19:29*,19:44,20:22,20:57,21:42,22:22,23:02,23:47,00:32,01:32
