Business ID,,8702,8704,8706,8708,8710,8712,8714,7832,8832,8718,8720,8834,8724,8726,8836,8732,8734,8840,8738,8842,8740,8860,8742,8744,8746,8748,8750,8752,8754,8756,8758,8760,8862,8762,8764,8766,8768,8770,8772,8774,8776,8864,8778,8780,8782,8784,8786,8788,8790,8792,8794,8798,8802,8804,8806,8808,8810,8868,8812,8814,8816,8818,8820
Days Run,,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF
Vehicle Formation,,3VL,N +VN,2x 3VL,N +VN,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,5x SP,2x 3VL,2x 3VL,2x 3VL,N +6SH,2x 3VL,2x 3VL,N +6SH,2x 3VL,2x 3VL,N +VN,2x 3VL,2x 3VL,2x 3VL,2x 3VL,3VL,3VL,2x 3VL,3VL,3VL,3VL,N +VN,3VL,3VL,3VL,3VL,3VL,3VL,3VL,3VL,N +VN,3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,2x 3VL,N +VN,3VL,3VL,2x 3VL,3VL,2x 3VL
Formed By On Arrival,,"7701
04:22
GLO","7703
04:23
GEL","7705
05:09
GLO","7707
05:10
GEL","7709
05:46
GLO","7711
06:23
GLO","8701
06:18
SPE","7831
07:02
WVL","7832
07:09
WVS","7717
06:24
GLO","7720
06:34
WPH","7834
07:31
WVS","7723
06:43
GLO","7726
06:54
WPH","7836
07:52
WVS",ON,"8703
07:20
SPE","7840
08:22
WVS","7738
08:01
MAS","7842
08:42
WVS","8709
08:03
SPE",ON,"8713
08:15
SPE","8715
08:49
SPE","8719
08:55
SPE","8721
09:24
SPE","8723
09:35
SPE","8725
10:04
SPE","8727
10:15
SPE","8729
10:44
SPE","8731
10:55
SPE","8733
11:24
SPE",ON,"8735
11:35
SPE","8737
12:07
SPE","8739
12:15
SPE","8741
12:44
SPE","8743
12:55
SPE","8745
13:24
SPE","8747
13:35
SPE","8749
14:04
SPE","8861
11:09
SPE","8751
14:17
SPE","8753
14:44
SPE","8755
14:55
SPE","8757
15:24
SPE","8759
15:35
SPE","8761
16:04
SPE","8763
16:15
SPE","8765
16:44
SPE","8767
16:55
SPE","8769
17:20
SPE","8775
17:53
SPE","8773
17:56
SPE","8789
18:41
SPE","8791
18:59
SPE","7782
19:20
WPH","8865
16:37
SPE","7811
20:03
GLO","7813
20:37
SOG","8805
21:22
SPE","8809
21:57
SPE","8811
22:41
SPE"
Train Movement Type,,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,EMPTY,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV,PSNG_SRV
WARRNAMBOOL,,,,,,,,,,,,,,,,,,,,,,,06:06,,,,,,,,,,,09:25,,,,,,,,,12:07,,,,,,,,,,,,,,,,17:43,,,,,
SHERWOOD PARK,,,,,,,,,,,,,,,,,,,,,,,06:12,,,,,,,,,,,09:31,,,,,,,,,12:13,,,,,,,,,,,,,,,,17:49,,,,,
TERANG,,,,,,,,,,,,,,,,,,,,,,,06:40,,,,,,,,,,,09:59,,,,,,,,,12:41,,,,,,,,,,,,,,,,18:17,,,,,
CAMPERDOWN,,,,,,,,,,,,,,,,,,,,,,,06:54/06:59,,,,,,,,,,,10:13/10:23,,,,,,,,,12:56,,,,,,,,,,,,,,,,18:32,,,,,
COLAC,,,,,,,,,,,,,,,,,,,,,,,07:26/07:27,,,,,,,,,,,10:50/10:51,,,,,,,,,13:23,,,,,,,,,,,,,,,,18:58,,,,,
BIRREGURRA,,,,,,,,,,,,,,,,,,,,,,,07:41,,,,,,,,,,,11:05,,,,,,,,,13:37,,,,,,,,,,,,,,,,19:22,,,,,
WINCHELSEA,,,,,,,,,,,,,,,,,,,,,,,07:55,,,,,,,,,,,11:19,,,,,,,,,13:51,,,,,,,,,,,,,,,,19:35,,,,,
Waurn Ponds,,04:31,,05:22,,,,06:27,,,,06:48,,,07:09,,,07:35,,,,08:10,08:17/08:19,,08:55,,09:35,,10:15,,10:55,,11:35,11:41/11:43,,12:15,,12:55,,13:35,,14:10,14:14/14:16,,14:55,,15:35,,16:15,,16:50,,17:28,,18:05,,19:09,19:34,19:58/20:00,,20:50,21:29,22:04,22:49
